"Key","Issue Type","Summary","Status","Created","Priority","Motivo Impedimento","Fix versions","Backlog","Developer Testing","Done","In Progress","Open","Presa in carico","READY IN HOTFIX","rejected","Released","TESTING IN HOTFIX","To Do-RESEVO","Waiting for support","Waiting for Support (II° Level)-10104","Total","'->Backlog","'->Developer Testing","'->Done","'->In Progress","'->Open","'->Presa in carico","'->READY IN HOTFIX","'->rejected","'->Released","'->TESTING IN HOTFIX","'->To Do-RESEVO","'->Waiting for support","'->Waiting for Support (II° Level)-10104"
"RAM-1084","Bug","GENERAZIONE OPERATIVO VIAGGI","rejected","2026-01-27 14:05","High","","","0","-","-","126","-","10","-","1,539","-","-","-","-","-","1,675","2026-01-27 14:05","","","2026-01-27 14:15","","2026-01-27 14:05","","2026-01-27 16:20","","","","",""
"RAM-1083","Bug","Impossibile prenotare auto con rimorchio","Released","2026-01-27 12:05","High","","hotfix-5.424.148","0","0","41","187","-","0","0","-","1,511","0","-","-","-","1,740","2026-01-27 12:05","2026-01-27 16:07","2026-01-27 16:07","2026-01-27 12:11","","2026-01-27 12:05","2026-01-27 16:07","","2026-01-27 16:48","2026-01-27 16:07","","",""
"RAM-1082","Task","Performance Icona carico verificato assente","Backlog","2026-01-27 10:24","Medium","","","1,836","-","-","-","-","-","-","-","-","-","-","-","-","1,836","2026-01-27 10:24","","","","","","","","","","","",""
"RAM-1081","Bug","DB Auto - Selezione categoria PMR impedisce l'inserimento del veicolo nel carrello","Released","2026-01-27 09:55","High","","hotfix-5.424.148","1","0","41","307","-","4","0","-","1,511","0","-","-","-","1,865","2026-01-27 09:55","2026-01-27 16:07","2026-01-27 16:07","2026-01-27 09:59","","2026-01-27 09:55","2026-01-27 16:07","","2026-01-27 16:48","2026-01-27 16:07","","",""
"RAM-1080","Task","[eu-LISA] Permettere l'invio del carattere '-' in nomi e cognomi","Released","2026-01-26 18:15","Medium","","hotfix-5.424.143","0","0","0","0","-","0","0","-","1,920","0","-","-","-","1,920","2026-01-26 18:15","2026-01-26 18:15","2026-01-26 18:21","2026-01-26 18:15","","2026-01-26 18:15","2026-01-26 18:15","","2026-01-27 07:38","2026-01-26 18:21","","",""
"RAM-1079","Task","[Export eu-LISA] Gestire validazioni multiple per stesso passeggero","Developer Testing","2026-01-26 15:48","Medium","","","183","678","-","1,190","-","0","-","-","-","-","-","-","-","2,051","2026-01-26 15:48","2026-01-29 14:41","","2026-01-27 09:52","","2026-01-27 09:51","","","","","","",""
"RAM-1078","Bug","Resevo e Sito DOWN","Released","2026-01-26 12:20","Critical","","","0","0","0","12","-","0","0","-","2,208","0","-","-","-","2,220","2026-01-26 12:20","2026-01-26 13:11","2026-01-26 13:11","2026-01-26 12:25","","2026-01-26 12:25","2026-01-26 13:11","","2026-01-26 13:12","2026-01-26 13:11","","",""
"RAM-1077","Task","Refactor API /voy/eligibility","In Progress","2026-01-26 10:45","Medium","In pausa","","0","-","-","2,295","-","0","-","-","-","-","-","-","-","2,295","2026-01-26 10:45","","","2026-01-26 10:45","","2026-01-26 10:45","","","","","","",""
"RAM-1076","Task","Instrumentare notification (refactoring)","Released","2026-01-26 09:24","High","","hotfix-5.424.155","257","4","600","345","-","0","19","-","1,150","0","-","-","-","2,376","2026-01-26 09:24","2026-01-27 11:26","2026-01-27 11:49","2026-01-26 14:40","","2026-01-26 14:40","2026-01-27 11:30","","2026-01-28 14:49","2026-01-27 11:49","","",""
"RAM-1075","Task","goalprsve2e1: /resevo: Disk space is critically low (used > 95%)","rejected","2026-01-26 08:56","High","","","-","0","-","64","0","-","0","2,333","-","2","-","-","-","2,400","","2026-01-26 10:04","","2026-01-26 08:56","2026-01-26 08:56","","2026-01-26 10:04","2026-01-26 10:06","","2026-01-26 10:04","","",""
"RAM-1074","Task","[regulatory-service] NullPointerException in check state","Released","2026-01-25 15:41","Low","","hotfix-5.424.143","0","154","188","90","-","0","3","-","1,920","45","-","-","-","2,400","2026-01-25 15:41","2026-01-26 10:29","2026-01-26 14:51","2026-01-26 08:58","","2026-01-26 08:58","2026-01-26 14:03","","2026-01-27 07:38","2026-01-26 14:06","","",""
"RAM-1073","Bug","resevo molto lento non invia ne mail e ne link","Released","2026-01-25 13:52","Critical","","","0","0","0","0","-","0","0","-","2,400","0","-","-","-","2,400","2026-01-25 13:52","2026-01-25 22:03","2026-01-25 22:03","2026-01-25 14:35","","2026-01-25 13:55","2026-01-25 22:03","","2026-01-25 22:03","2026-01-25 22:03","","",""
"RAM-1072","Bug","Sembrano non andare i pagamenti e pax non ricevono le mail con il biglietto ","Released","2026-01-25 13:50","Critical","","","0","0","20","0","-","0","0","-","2,380","0","-","-","-","2,400","2026-01-25 13:50","2026-01-25 22:04","2026-01-25 22:05","2026-01-25 14:35","","2026-01-25 13:55","2026-01-25 22:05","","2026-01-26 09:19","2026-01-25 22:05","","",""
"RAM-1071","Task","[eu-LISA] Gestione viaggi multitratta","Backlog","2026-01-23 18:06","Medium","","","2,400","-","-","-","-","-","-","-","-","-","-","-","-","2,400","2026-01-23 18:06","","","","","","","","","","","",""
"RAM-1070","Task","[eu-LISA] Miglioramento dei log di integrazione","Released","2026-01-23 18:04","Medium","","hotfix-5.424.143","104","70","0","70","-","0","3","-","1,920","233","-","-","-","2,400","2026-01-23 18:04","2026-01-26 11:53","2026-01-26 18:13","2026-01-26 10:43","","2026-01-26 10:43","2026-01-26 14:03","","2026-01-27 07:38","2026-01-26 14:06","","",""
"RAM-1069","Task","Eseguire alter table voyTicket e voyBooking","Released","2026-01-23 14:31","High","","hotfix-5.424.143","0","0","0","0","-","689","0","-","1,920","0","-","-","-","2,609","2026-01-23 14:31","2026-01-27 07:38","2026-01-27 07:38","2026-01-27 07:37","","2026-01-23 14:31","2026-01-27 07:38","","2026-01-27 07:38","2026-01-27 07:38","","",""
"RAM-1068","Task","[Amerigo Leo] Corso PCI DSS / OWASP","Done","2026-01-23 14:18","Low","","","0","0","2,430","191","-","0","0","-","-","0","-","-","-","2,621","2026-01-23 14:18","2026-01-23 17:30","2026-01-23 17:30","2026-01-23 14:18","","2026-01-23 14:18","2026-01-23 17:30","","","2026-01-23 17:30","","",""
"RAM-1067","Task","Analisi su record EULISA_REQUEST_FOR_PASSENGERS_VALIDATION","Backlog","2026-01-23 13:04","Low","","","2,695","-","-","-","-","-","-","-","-","-","-","-","-","2,695","2026-01-23 13:04","","","","","","","","","","","",""
"RAM-1066","Task","Verifica assenza risposta eu-LISA","Done","2026-01-23 11:43","Medium","","","79","0","2,400","237","-","0","0","-","-","0","-","-","-","2,716","2026-01-23 11:43","2026-01-23 18:00","2026-01-23 18:00","2026-01-23 14:02","","2026-01-23 14:02","2026-01-23 18:00","","","2026-01-23 18:00","","",""
"RAM-1065","[System] Service request","Accesso di SMARTLOG a end point di Freight Booking","Released","2026-01-23 11:43","Low","","hotfix-5.424.155","0","0","193","157","-","800","485","-","1,081","0","-","-","-","2,717","2026-01-23 11:43","2026-01-27 11:40","2026-01-28 11:45","2026-01-27 09:03","","2026-01-23 11:43","2026-01-27 11:40","","2026-01-28 15:59","2026-01-28 11:45","","",""
"RAM-1064","Task","Fix recupero voy booking da freight-booking","Released","2026-01-22 17:59","High","","hotfix-5.424.143","1","87","693","137","-","43","0","-","1,920","0","-","-","-","2,881","2026-01-22 17:59","2026-01-23 12:49","2026-01-23 14:26","2026-01-23 09:42","","2026-01-22 18:00","2026-01-23 14:26","","2026-01-27 07:38","2026-01-23 14:26","","",""
"RAM-1063","Task","Fix uso anomalo CPU discovery-service","Released","2026-01-22 17:14","High","","hotfix-5.424.143","0","0","960","45","-","0","0","-","1,920","0","-","-","-","2,926","2026-01-22 17:14","2026-01-22 17:59","2026-01-22 17:59","2026-01-22 17:14","","2026-01-22 17:14","2026-01-22 17:59","","2026-01-27 07:38","2026-01-22 17:59","","",""
"RAM-1062","Task","NullPointerException in Export EULISA","Released","2026-01-22 15:26","Medium","","hotfix-5.424.143","66","5","652","267","-","0","0","-","1,920","123","-","-","-","3,034","2026-01-22 15:26","2026-01-23 12:45","2026-01-23 15:07","2026-01-22 16:32","","2026-01-22 16:32","2026-01-23 13:04","","2026-01-27 07:38","2026-01-23 13:04","","",""
"RAM-1061","Task","Errore generazione csv eulisa - Biglietto connesso","Released","2026-01-22 15:13","Medium","","hotfix-5.424.143","0","69","963","79","-","0","0","-","1,920","15","-","-","-","3,047","2026-01-22 15:13","2026-01-22 16:32","2026-01-22 17:56","2026-01-22 15:13","","2026-01-22 15:13","2026-01-22 17:41","","2026-01-27 07:38","2026-01-22 17:42","","",""
"RAM-1060","Task","Errore validazione EULISA su viaggi Shengen - Extra Shengen","Released","2026-01-22 14:12","High","","hotfix-5.424.133","1","0","7","0","-","0","0","-","3,100","0","-","-","-","3,108","2026-01-22 14:12","2026-01-22 14:13","2026-01-22 14:13","2026-01-22 14:13","","2026-01-22 14:13","2026-01-22 14:13","","2026-01-22 14:20","2026-01-22 14:13","","",""
"RAM-1059","[System] Service request","Recupero casistiche risposta positiva eu-LISA","Done","2026-01-22 14:06","Medium","","","-","0","2,719","394","-","-","0","-","-","0","-","0","-","3,113","","2026-01-23 11:41","2026-01-23 11:41","2026-01-22 14:06","","","2026-01-23 11:41","","","2026-01-23 11:41","","2026-01-22 14:06",""
"RAM-1058","Task","[Affuso Samuele] Corso PCI / OWASP","Done","2026-01-22 12:08","Low","","","0","0","2,880","300","-","0","0","-","-","0","-","-","-","3,180","2026-01-22 12:08","2026-01-22 18:23","2026-01-22 18:24","2026-01-22 12:09","","2026-01-22 12:09","2026-01-22 18:24","","","2026-01-22 18:24","","",""
"RAM-1057","Task","[Simone Parisi] Corso PCI / OWASP","Done","2026-01-22 10:12","Medium","","","5","0","2,880","402","-","0","0","-","-","0","-","-","-","3,287","2026-01-22 10:12","2026-01-22 18:19","2026-01-22 18:19","2026-01-22 10:17","","2026-01-22 10:17","2026-01-22 18:19","","","2026-01-22 18:19","","",""
"RAM-1056","Task","[pricing-service] Json pasring error","rejected","2026-01-22 10:10","Low","","","589","-","-","62","-","0","-","2,638","-","-","-","-","-","3,289","2026-01-22 10:10","","","2026-01-23 12:43","","2026-01-23 12:43","","2026-01-23 14:02","","","","",""
"RAM-1055","Task","goalprsve2e1: /resevo: Disk space is critically low (used > 95%)","Released","2026-01-22 09:43","High","","","-","0","0","12","0","-","0","-","3,304","0","-","-","-","3,317","","2026-01-22 09:55","2026-01-22 09:55","2026-01-22 09:43","2026-01-22 09:43","","2026-01-22 09:55","","2026-01-22 09:56","2026-01-22 09:55","","",""
"RAM-1054","Task","Revisione validazioni preliminari per eu-LISA","Done","2026-01-22 09:23","Medium","","","1,255","0","1,867","215","-","0","0","-","-","0","-","-","-","3,337","2026-01-22 09:23","2026-01-27 09:52","2026-01-27 09:52","2026-01-26 15:17","","2026-01-26 15:17","2026-01-27 09:52","","","2026-01-27 09:52","","",""
"RAM-1053","Task","Errore generazione csv eulisa - Biglietto gruppo Reservation","Released","2026-01-22 09:13","Medium","","hotfix-5.424.143","0","27","1,127","216","-","0","0","-","1,920","56","-","-","-","3,347","2026-01-22 09:13","2026-01-22 13:49","2026-01-22 15:12","2026-01-22 09:13","","2026-01-22 09:13","2026-01-22 14:16","","2026-01-27 07:38","2026-01-22 14:16","","",""
"RAM-1052","Task","Errore ripristino risorsa originale","In Progress","2026-01-21 17:40","Low","","","1,004","-","-","2,280","-","96","-","-","-","-","-","-","-","3,379","2026-01-21 17:40","","","2026-01-26 11:00","","2026-01-26 09:24","","","","","","",""
"RAM-1051","Task","[Validazione EULISA] Gestione cognome / nome con apostrofo e spazi multipli","Released","2026-01-21 16:36","Medium","","hotfix-5.424.130","1","0","25","83","-","0","0","-","3,335","0","-","-","-","3,444","2026-01-21 16:36","2026-01-21 18:09","2026-01-21 18:29","2026-01-21 16:36","","2026-01-21 16:36","2026-01-21 18:29","","2026-01-22 09:24","2026-01-21 18:29","","",""
"RAM-1050","Task","[Marco Grazioli] Corso PCI / OWASP","Done","2026-01-21 14:50","Medium","","","0","0","2,700","849","-","0","0","-","-","0","-","-","-","3,550","2026-01-21 14:50","2026-01-23 11:59","2026-01-23 11:59","2026-01-21 14:50","","2026-01-21 14:50","2026-01-23 11:59","","","2026-01-23 11:59","","",""
"RAM-1049","Task","Modificare Saga sostituzione per biglietti A/R","In Progress","2026-01-21 12:32","High","In pausa","","2,700","-","-","960","-","0","-","-","-","-","-","-","-","3,660","2026-01-21 12:32","","","2026-01-29 08:56","","2026-01-29 08:56","","","","","","",""
"RAM-1048","Task","goalprsve2e1: /resevo: Disk space is critically low (used > 95%)","Released","2026-01-21 12:26","High","","","-","0","0","151","0","-","0","-","3,509","0","-","-","-","3,660","","2026-01-21 15:31","2026-01-21 15:31","2026-01-21 12:26","2026-01-21 12:26","","2026-01-21 15:31","","2026-01-21 15:31","2026-01-21 15:31","","",""
"RAM-1047","Task","Errore durante recupero voy-eligibility information","Released","2026-01-21 11:13","Low","","hotfix-5.424.130","28","185","133","6","-","18","0","-","3,335","1","-","-","-","3,707","2026-01-21 11:13","2026-01-21 13:05","2026-01-21 16:11","2026-01-21 12:20","","2026-01-21 11:41","2026-01-21 16:11","","2026-01-22 09:24","2026-01-21 16:11","","",""
"RAM-1046","Task","Validazione mail b2c","Released","2026-01-21 10:56","Low","","hotfix-5.424.130","50","41","143","153","-","0","0","-","3,335","1","-","-","-","3,723","2026-01-21 10:56","2026-01-21 15:19","2026-01-21 16:02","2026-01-21 11:47","","2026-01-21 11:47","2026-01-21 16:01","","2026-01-22 09:24","2026-01-21 16:01","","",""
"RAM-1045","Task","Fix recupero voy ticket da booking","Released","2026-01-20 17:04","High","","hotfix-5.424.143","0","45","960","969","-","0","0","-","1,920","0","-","-","-","3,896","2026-01-20 17:04","2026-01-22 17:13","2026-01-22 17:59","2026-01-20 17:04","","2026-01-20 17:04","2026-01-22 17:59","","2026-01-27 07:38","2026-01-22 17:59","","",""
"RAM-1044","Task","Instrumentare Pricing","Backlog","2026-01-20 15:30","High","","","3,990","-","-","-","-","-","-","-","-","-","-","-","-","3,990","2026-01-20 15:30","","","","","","","","","","","",""
"RAM-1043","Bug","Anomalia validazione EULISA – Stati “Dati obbligatori mancanti” e KO con input completi","Released","2026-01-20 12:11","High","","hotfix-5.424.130","0","0","418","334","-","0","0","-","3,335","53","-","-","-","4,140","2026-01-20 12:11","2026-01-21 09:33","2026-01-21 10:26","2026-01-20 12:50","","2026-01-20 12:12","2026-01-21 09:33","","2026-01-22 09:24","2026-01-21 09:33","","",""
"RAM-1042","[System] Service request","Attivazione end-to-end EULISA su viaggi extra-Schengen","Released","2026-01-20 12:01","High","","hotfix-5.424.130","0","93","711","0","-","0","0","-","3,335","0","-","-","-","4,140","2026-01-20 12:01","2026-01-20 12:57","2026-01-20 14:33","2026-01-20 12:07","","2026-01-20 12:02","2026-01-20 14:33","","2026-01-22 09:24","2026-01-20 14:33","","",""
"RAM-1041","Task","Gestione errori multipli di conversione carrello","Released","2026-01-20 10:06","Low","","hotfix-5.424.130","16","128","25","584","-","0","154","-","3,335","11","-","-","-","4,253","2026-01-20 10:06","2026-01-21 13:06","2026-01-21 18:09","2026-01-20 10:23","","2026-01-20 10:23","2026-01-21 15:15","","2026-01-22 09:24","2026-01-21 17:48","","",""
"RAM-1040","Task","Richiesta rilascio Integrazione GTB in prod","Released","2026-01-19 16:54","Low","","hotfix-5.424.113","74","0","23","0","-","0","0","-","4,289","0","-","-","-","4,386","2026-01-19 16:54","2026-01-20 09:08","2026-01-20 09:08","2026-01-20 09:08","","2026-01-20 09:08","2026-01-20 09:08","","2026-01-20 09:31","2026-01-20 09:08","","",""
"RAM-1039","Task","[payment-service] NullPointerException in elaborazione messaggio su Order","Released","2026-01-19 12:46","Lowest","","hotfix-5.424.113","0","0","31","300","-","0","0","-","4,289","0","-","-","-","4,620","2026-01-19 12:46","2026-01-19 18:25","2026-01-19 18:25","2026-01-19 12:55","","2026-01-19 12:55","2026-01-19 18:25","","2026-01-20 09:31","2026-01-19 18:25","","",""
"RAM-1038","Bug","VIAGGI GESTIONE - GESTIONE PREASSEGNAZIONI","Released","2026-01-19 12:13","Medium","","hotfix-5.424.130","0","196","651","130","-","300","8","-","3,335","0","-","-","-","4,620","2026-01-19 12:13","2026-01-20 11:10","2026-01-20 15:33","2026-01-19 22:32","","2026-01-19 12:13","2026-01-20 15:26","","2026-01-22 09:24","2026-01-20 15:33","","",""
"RAM-1037","Bug","Stampa Cargo mainfest fallisce su tutti i viaggi","Released","2026-01-19 11:26","High","","hotfix-5.424.108-freightbooking","0","0","7","1","-","0","0","-","4,646","0","-","-","-","4,654","2026-01-19 11:26","2026-01-19 11:26","2026-01-19 11:27","2026-01-19 11:26","","2026-01-19 11:26","2026-01-19 11:27","","2026-01-19 11:34","2026-01-19 11:27","","",""
"RAM-1036","Bug","VIAGGI GESTIONE - GESTIONE PREASSEGNAZIONI","Released","2026-01-19 10:04","High","","hotfix-5.424.113","1","62","31","353","-","0","0","-","4,289","0","-","-","-","4,736","2026-01-19 10:04","2026-01-19 16:57","2026-01-19 22:30","2026-01-19 10:05","","2026-01-19 10:05","2026-01-19 22:26","","2026-01-20 09:31","2026-01-19 22:30","","",""
"RAM-1035","Bug","Non è possibile scaricare imo fal 2 e 6","Released","2026-01-18 00:05","Critical","","hotfix-5.424.108","0","0","26","3","-","0","0","-","4,771","0","-","-","-","4,800","2026-01-18 00:05","2026-01-19 09:02","2026-01-19 09:02","2026-01-18 00:07","","2026-01-18 00:07","2026-01-19 09:02","","2026-01-19 09:28","2026-01-19 09:02","","",""
"RAM-1034","Bug","ERRORE INVIO DATI A BORDO - RESEVO VIAGGI GESTIONE","Released","2026-01-17 09:22","Critical","","hotfix-5.424.108","0","0","29","0","-","0","0","-","4,771","0","-","-","-","4,800","2026-01-17 09:22","2026-01-17 10:42","2026-01-17 10:43","2026-01-17 10:28","","2026-01-17 10:20","2026-01-17 10:43","","2026-01-19 09:28","2026-01-17 10:43","","",""
"RAM-1033","Bug","RESEVO BUG - IMPOSSIBILE ESPORTARE LISTE IMOFAL DA VIAGGI GESTIONE","Released","2026-01-17 09:21","Critical","","hotfix-5.424.108","0","0","29","0","-","0","0","-","4,771","0","-","-","-","4,800","2026-01-17 09:21","2026-01-17 10:42","2026-01-17 10:43","2026-01-17 10:20","","2026-01-17 10:20","2026-01-17 10:43","","2026-01-19 09:28","2026-01-17 10:43","","",""
"RAM-1032","Task","Rilascio ACF-2 e ACF-12","Done","2026-01-16 14:43","Low","","hotfix-5.424.106","0","0","4,996","0","-","0","0","-","-","0","-","-","-","4,997","2026-01-16 14:43","2026-01-16 14:43","2026-01-16 14:43","2026-01-16 14:43","","2026-01-16 14:43","2026-01-16 14:43","","","2026-01-16 14:43","","",""
"RAM-1031","Task","CargoManifest - miglioria nel recupero dei bolPortConfig","Released","2026-01-16 14:04","Low","","hotfix-5.424.108","0","35","29","0","-","171","28","-","4,771","0","-","-","-","5,035","2026-01-16 14:04","2026-01-16 16:56","2026-01-17 10:44","2026-01-16 16:56","","2026-01-16 14:05","2026-01-16 17:31","","2026-01-19 09:28","2026-01-17 10:44","","",""
"RAM-1030","Task","Cargo Manifest - Errore nel recupero dei bolPortConfig","Released","2026-01-16 12:18","Critical","","hotfix-5.424.106","0","0","103","0","-","0","0","-","4,997","0","-","-","-","5,100","2026-01-16 12:18","2026-01-16 12:43","2026-01-16 12:43","2026-01-16 12:21","","2026-01-16 12:18","2026-01-16 12:43","","2026-01-16 14:43","2026-01-16 12:43","","",""
